Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,12.960100,13.023600,12.620300,12.710900,11.165911,8034238
2015-01-05,12.597600,12.747200,12.053800,12.053800,10.588680,13629521
2015-01-06,12.094600,12.226000,11.818200,12.022100,10.560834,11623990
2015-01-07,12.072000,12.130900,11.963200,12.026700,10.564874,8177369
2015-01-08,12.167100,12.289500,11.931500,12.271300,10.779744,11966607
2015-01-09,12.198800,12.217000,11.763800,11.822700,10.385670,13489345
2015-01-12,11.877100,11.917900,11.632400,11.840900,10.401659,9719369
2015-01-13,11.736600,11.772900,11.519100,11.587100,10.178707,18659178
2015-01-14,11.419400,11.632400,11.328800,11.405800,10.019444,17873631
2015-01-15,11.528200,11.686800,11.192900,11.677700,10.258295,16865724
2015-01-16,11.668700,11.936000,11.596200,11.881600,10.437411,15373250
2015-01-19,11.985900,12.004000,11.818200,11.963200,10.509092,7311053
2015-01-20,11.963200,12.049300,11.872600,12.035700,10.572780,8538217
2015-01-21,12.022100,12.090100,11.859000,12.062900,10.596674,9821664
2015-01-22,12.062900,12.198800,11.945100,12.189800,10.708150,13181211
2015-01-23,12.244200,12.357400,12.158100,12.325700,10.827531,14857423
2015-01-26,12.244200,12.448100,12.221500,12.425400,10.915112,7608575
2015-01-27,12.429900,12.507000,12.271300,12.334800,10.835526,7905087
2015-01-28,12.416400,12.507000,12.226000,12.461700,10.947001,7396429
2015-01-29,12.452600,12.647500,12.402800,12.620300,11.086324,9115249
2015-01-30,12.688200,12.688200,12.366500,12.439000,10.927059,10650730
2015-02-02,12.461700,12.615800,12.384600,12.615800,11.082370,8530554
2015-02-03,12.679200,12.787900,11.922400,12.121800,10.648416,22924413
2015-02-04,12.049300,12.085600,11.940500,12.035700,10.572780,10980264
2015-02-05,11.945100,11.976800,11.691300,11.917900,10.469298,13375831
2015-02-06,11.927000,11.945100,11.845400,11.904300,10.457352,6763797
2015-02-09,11.822700,11.849900,11.591600,11.655100,10.238441,12689238
2015-02-10,11.686800,11.777400,11.537200,11.777400,10.345876,9305872
2015-02-11,11.795500,11.904300,11.736600,11.840900,10.401659,7701141
2015-02-12,11.781900,12.094600,11.736600,12.008500,10.548887,10111423
2015-02-13,12.035700,12.149000,11.936000,12.108200,10.636468,8675151
2015-02-16,12.067400,12.235100,11.985900,12.180700,10.700156,7601679
2015-02-17,12.126300,12.339300,11.994900,12.303100,10.807678,9728557
2015-02-18,12.325700,12.375600,12.135400,12.180700,10.700156,8748165
2015-02-19,12.112800,12.117300,11.972300,12.058400,10.592720,9073841
2015-02-20,12.017600,12.135400,11.963200,12.085600,10.616615,13448786
2015-02-23,12.189800,12.244200,12.062900,12.244200,10.755938,7193713
2015-02-24,12.280400,12.692800,12.244200,12.593100,11.062428,16148503
2015-02-25,12.679200,13.055300,12.665600,12.910300,11.341074,15171609
2015-02-26,12.928400,12.960100,12.720000,12.819700,11.261487,9668797
2015-02-27,12.819700,13.091600,12.801500,13.091600,11.500338,11108937
2015-03-02,13.032600,13.078000,12.801500,12.860400,11.297239,9888472
2015-03-03,12.905800,12.933000,12.706400,12.720000,11.173904,9730458
2015-03-04,12.783400,12.846900,12.570400,12.756200,11.205704,10362770
2015-03-05,12.615800,13.005500,12.602100,12.951100,11.376916,12743483
2015-03-06,12.901200,12.928400,12.683700,12.688200,11.145970,13095520
2015-03-09,12.597600,12.751700,12.516100,12.720000,11.173904,8766347
2015-03-10,12.792500,12.797000,12.493400,12.570400,11.042489,13445345
2015-03-11,12.543200,12.815100,12.520600,12.733600,11.185851,12180040
2015-03-12,12.715400,12.733600,12.461700,12.475300,10.958947,14845595
2015-03-13,12.488900,12.538700,12.130900,12.266800,10.775790,14763500
2015-03-16,12.316700,12.511500,12.121800,12.457100,10.942960,15289701
2015-03-17,12.479800,12.561400,12.398200,12.520600,10.998742,10830302
2015-03-18,12.552300,12.765300,12.420900,12.674700,11.134111,14367412
2015-03-19,12.679200,12.760700,12.561400,12.692800,11.150011,11462115
2015-03-20,12.765300,13.010000,12.692800,12.914800,11.345027,36288946
2015-03-23,12.869500,12.951100,12.701800,12.751700,11.201752,9800637
2015-03-24,12.674700,12.860400,12.642900,12.810600,11.253493,8034789
2015-03-25,12.765300,12.996400,12.420900,12.964700,11.388862,11865777
2015-03-26,12.869500,12.991900,12.647500,12.787900,11.233551,13015448
2015-03-27,12.815100,12.851400,12.602100,12.715400,11.169864,9727747
2015-03-30,12.715400,12.828700,12.642900,12.683700,11.142017,9133031
2015-03-31,12.683700,12.797000,12.570400,12.584000,11.054435,11372480
2015-04-01,12.511500,12.724500,12.507000,12.629300,11.094229,11511235
2015-04-02,12.670100,12.670100,12.420900,12.457100,10.942960,8832141
2015-04-07,12.457100,13.046200,12.457100,12.942000,11.368922,15671943
2015-04-08,12.982800,13.105200,12.738100,12.783400,11.229598,9855970
2015-04-09,12.797000,12.865000,12.724500,12.865000,11.301280,6440802
2015-04-10,12.883100,13.000900,12.828700,12.982800,11.404761,7894490
2015-04-13,12.987300,13.241100,12.946600,13.127800,11.532138,10598977
2015-04-14,13.114200,13.200300,13.000900,13.087000,11.496297,9058643
2015-04-15,13.073400,13.349800,13.023600,13.263800,11.651607,10598641
2015-04-16,13.277400,13.454100,13.155000,13.272800,11.659513,12848291
2015-04-17,13.245600,13.331700,13.059800,13.100600,11.508244,15121032
2015-04-20,13.082500,13.204800,12.892200,13.186700,11.583878,7904946
2015-04-21,13.268300,13.336300,13.005500,13.059800,11.472403,8121299
2015-04-22,13.114200,13.132300,12.815100,12.892200,11.325174,8499834
2015-04-23,12.846900,12.910300,12.674700,12.833300,11.273434,9734992
2015-04-24,12.905800,13.227500,12.774400,13.227500,11.619720,12125877
2015-04-27,13.263800,13.431400,12.969200,13.354400,11.731194,9173880
2015-04-28,13.322700,13.390600,13.177700,13.213900,11.607772,7586788
2015-04-29,13.204800,13.431400,12.869500,12.869500,11.305233,12220065
2015-04-30,12.851400,12.919400,12.593100,12.652000,11.114171,12324308
2015-05-04,12.652000,12.869500,12.547800,12.783400,11.229598,6955762
2015-05-05,12.710900,12.792500,12.285000,12.303100,10.807678,15305824
2015-05-06,12.334800,12.425400,12.239600,12.384600,10.879272,12648779
2015-05-07,12.534200,12.706400,12.398200,12.692800,11.150011,17541851
2015-05-08,12.298500,12.692800,12.235100,12.679200,11.594811,17031863
2015-05-11,12.642900,12.760700,12.588600,12.697300,11.611363,8174094
2015-05-12,12.565900,12.638400,12.402800,12.561400,11.487087,11014541
2015-05-13,12.706400,12.710900,12.434500,12.479800,11.412465,9776931
2015-05-14,12.398200,12.647500,12.321200,12.579500,11.503639,7094489
2015-05-15,12.597600,12.688200,12.384600,12.443600,11.379361,9598271
2015-05-18,12.439000,12.507000,12.275900,12.443600,11.379361,7422199
2015-05-19,12.511500,12.774400,12.511500,12.701800,11.615479,11455268
2015-05-20,12.742600,12.923900,12.742600,12.878600,11.777158,9183850
2015-05-21,12.824200,12.987300,12.724500,12.806100,11.710858,8624632
2015-05-22,12.828700,12.905800,12.697300,12.733600,11.644559,6848076
2015-05-26,12.733600,12.769800,12.271300,12.316700,11.263314,13417308
2015-05-27,12.289500,12.493400,12.153500,12.479800,11.412465,19067886
2015-05-28,12.393700,12.497900,12.303100,12.398200,11.337844,7465547
2015-05-29,12.416400,12.429900,12.103700,12.117300,11.080968,13226354
2015-06-01,12.149000,12.207900,12.040200,12.108200,11.072646,6266449
2015-06-02,12.153500,12.203400,11.940500,12.090100,11.056094,7659966
2015-06-03,12.117300,12.362000,12.017600,12.248700,11.201130,11499786
2015-06-04,12.212400,12.257800,11.904300,11.908800,10.890301,14603351
2015-06-05,11.840900,12.008500,11.754800,11.768300,10.761817,11443013
2015-06-08,11.745700,11.772900,11.523700,11.582600,10.591998,9161120
2015-06-09,11.546300,11.587100,11.342400,11.491900,10.509056,10657194
2015-06-10,11.446600,11.800100,11.396800,11.745700,10.741149,11879614
2015-06-11,11.646000,11.804600,11.496500,11.546300,10.558803,15516284
2015-06-12,11.519100,11.659600,11.365100,11.501000,10.517378,13051505
2015-06-15,11.383200,11.446600,11.224600,11.274400,10.310157,8098043
2015-06-16,11.224600,11.274400,11.020600,11.229100,10.268732,12642344
2015-06-17,11.238200,11.306100,11.102200,11.156600,10.202432,8777145
2015-06-18,11.115800,11.405800,11.043300,11.392200,10.417883,12089957
2015-06-19,11.387700,11.392200,11.129400,11.238200,10.277053,42941478
2015-06-22,11.455700,11.591600,11.310700,11.550800,10.562918,14945785
2015-06-23,11.627900,11.677700,11.496500,11.510100,10.525699,10791758
2015-06-24,11.686800,11.736600,11.369600,11.442100,10.463514,13257947
2015-06-25,11.374100,11.491900,11.188300,11.292500,10.326708,9535879
2015-06-26,11.206400,11.328800,11.156600,11.278900,10.314272,7434631
2015-06-29,10.939100,11.115800,10.875600,10.925500,9.991096,15988752
2015-06-30,10.893800,11.002500,10.762400,10.830300,9.904039,16970958
2015-07-01,10.911900,11.020600,10.762400,10.871100,9.941349,19016142
2015-07-02,10.966300,11.274400,10.925500,11.038800,10.094707,16831432
2015-07-03,11.097700,11.106700,10.871100,10.943600,10.007648,10592028
2015-07-06,10.694400,10.862100,10.653600,10.694400,9.779761,13940690
2015-07-07,10.703500,10.744200,10.499500,10.517600,9.618083,12071544
2015-07-08,10.540300,10.721600,10.531200,10.626400,9.717578,8487937
2015-07-09,10.653600,10.916400,10.603800,10.866600,9.937234,9711819
2015-07-10,11.075000,11.170200,10.943600,11.133900,10.181673,11287290
2015-07-13,11.256300,11.297100,11.156600,11.224600,10.264616,8084526
2015-07-14,11.102200,11.183800,11.016100,11.165700,10.210754,7725550
2015-07-15,11.201900,11.315200,11.161100,11.260800,10.297720,5973769
2015-07-16,11.310700,11.501000,11.265400,11.451100,10.471745,7316561
2015-07-17,11.464700,11.473800,11.247200,11.274400,10.310157,7455967
2015-07-20,11.319700,11.424000,11.274400,11.346900,10.376456,4917298
2015-07-21,11.374100,11.405800,11.201900,11.238200,10.277053,6232715
2015-07-22,11.174700,11.238200,11.138500,11.192900,10.235627,5014742
2015-07-23,11.288000,11.288000,11.129400,11.233600,10.272846,5281033
2015-07-24,11.224600,11.260800,11.056900,11.056900,10.111259,5790343
2015-07-27,11.007100,11.075000,10.853000,10.853000,9.924797,7514983
2015-07-28,10.884700,10.952700,10.785000,10.834900,9.908245,7867471
2015-07-29,10.853000,10.866600,10.708000,10.825800,9.899923,6188850
2015-07-30,10.921000,10.961700,10.794100,10.880200,9.949671,6005641
2015-07-31,10.862100,10.916400,10.726100,10.884700,9.953786,7392221
2015-08-03,10.875600,10.998000,10.830300,10.930000,9.995213,6256995
2015-08-04,10.921000,10.993500,10.884700,10.943600,10.007648,4501904
2015-08-05,10.961700,11.183800,10.862100,11.156600,10.202432,9697034
2015-08-06,11.124900,11.197400,11.097700,11.115800,10.165121,6654710
2015-08-07,11.097700,11.097700,10.916400,10.952700,10.015970,7444347
2015-08-10,10.975300,10.998000,10.816700,10.889200,9.957901,8759253
2015-08-11,10.875600,10.902800,10.608300,10.608300,9.701025,10350027
2015-08-12,10.680800,10.748800,10.544800,10.572000,9.667830,14226601
2015-08-13,10.712500,10.816700,10.617300,10.644500,9.734129,10905713
2015-08-14,10.680800,10.698900,10.522200,10.553900,9.651278,6155649
2015-08-17,10.603800,10.644500,10.395300,10.463300,9.568426,9790484
2015-08-18,10.436100,10.454200,10.295600,10.322800,9.439942,8584938
2015-08-19,10.223100,10.250300,10.032800,10.037300,9.178860,11586126
2015-08-20,9.982930,10.114400,9.910430,9.919490,9.071126,11837785
2015-08-21,9.742760,9.919490,9.489000,9.489000,8.677453,19659240
2015-08-24,9.167260,9.289610,8.659730,8.673330,7.931544,46405136
